,PREDDEG,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_MEN
2827,3.0,2.0,2052.0,0.7344,0.0448,0.1019,0.0327,0.0,0.0015,0.0322,0.0141,0.0385,0.404
2828,3.0,2.0,1682.0,0.5434,0.286,0.0731,0.0226,0.0012,0.0024,0.0357,0.0107,0.025,0.3603
2829,2.0,3.0,667.0,0.8501,0.1079,0.0165,0.0015,0.0,0.003,0.015,0.0,0.006,0.934
2830,2.0,1.0,7173.0,0.501,0.1301,0.2544,0.0259,0.0028,0.0013,0.0353,0.0098,0.0395,0.3632
2831,1.0,2.0,29.0,0.8621,0.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.1724
2832,1.0,2.0,215.0,0.2512,0.3581,0.1302,0.0233,0.0047,0.0047,0.0186,0.0,0.2093,0.9442
2833,4.0,2.0,,,,,,,,,,,
2834,2.0,2.0,548.0,0.1679,0.6496,0.031,0.0073,0.0036,0.0018,0.073,0.0018,0.0639,0.104
2835,3.0,2.0,788.0,0.1967,0.5546,0.1117,0.0228,0.0051,0.0025,0.014,0.0025,0.0901,0.2665
2836,1.0,3.0,266.0,0.7331,0.1466,0.015,0.0376,0.0075,0.0,0.0188,0.0,0.0414,0.406
2837,1.0,3.0,566.0,0.4576,0.2527,0.2208,0.0283,0.0018,0.0088,0.03,0.0,0.0,0.8551
2838,3.0,2.0,121.0,0.6198,0.0579,0.0331,0.0331,0.0165,0.0,0.124,0.0744,0.0413,0.2397
2839,1.0,3.0,61.0,0.9508,0.0,0.0164,0.0,0.0,0.0164,0.0,0.0164,0.0,0.9672
2840,1.0,3.0,106.0,0.2075,0.5849,0.066,0.0094,0.0,0.0,0.0,0.0,0.1321,0.283
2841,3.0,2.0,222.0,0.6261,0.1396,0.0225,0.0495,0.0045,0.0,0.0586,0.0,0.0991,0.2838
2842,3.0,2.0,10644.0,0.3499,0.0804,0.103,0.2537,0.001,0.0003,0.0483,0.125,0.0384,0.4505
